设备编号,下单时间,订单编号,购买数量（个）,手续费（元）,总金额（元）,支付状态,出货状态,收款方,退款金额（元）,购买用户,商品ID,商品详情,省市区,软件版本
112858,2018/9/16 10:01,112858qr15370632884779,1,0.02,2.0,微信,出货成功,平台,0.0,os-xL0lnhcEDPjPp8Ch-mGbvsUVg,商品0046,农夫山泉550X1,广东省中山市,V3.0.33;rk3288;(900x1440)
112834,2018/9/16 6:37,112834qr15370510882658,1,0.02,2.0,支付宝,出货成功,平台,0.0,os-xL0lF3FKQU_ejpHt39CJCsmfc,商品0046,农夫山泉550X1,广东省中山市,V3.0.33;rk3288;(900x1440)
112834,2018/9/15 23:49,112834qr15370265677051,1,0.02,2.0,微信,出货成功,平台,0.0,os-xL0n7h9aRQG596_vXmSbvv9z0,商品0046,农夫山泉550X1,广东省中山市,V3.0.33;rk3288;(900x1440)
112858,2018/9/15 22:41,112858qr15370225099538,1,0.02,2.0,支付宝,出货成功,平台,0.0,os-xL0kUwl6QbasqDcgFThqy15JI,商品0046,农夫山泉550X1,广东省中山市,V3.0.33;rk3288;(900x1440)
113117,2018/9/15 22:08,113117qr15370205308800,1,0.02,2.0,支付宝,出货成功,平台,0.0,os-xL0kJQnHXTLcxDLJ1cAezUUbE,商品0046,农夫山泉550X1,广东省广州市白云区,V3.0.33;rk3288;(900x1440)
112858,2018/9/15 21:35,112858qr15370185408584,1,0.02,2.0,支付宝,出货成功,平台,0.0,os-xL0oOoCE_VkKpGGxvxjVoqU_s,商品0046,农夫山泉550X1,广东省中山市,V3.0.33;rk3288;(900x1440)
112834,2018/9/15 20:05,112834qr15370131338966,1,0.02,2.0,微信,出货成功,平台,0.0,os-xL0rTIbotL23iFsRWJJgii2yo,商品0046,农夫山泉550X1,广东省中山市,V3.0.33;rk3288;(900x1440)
112858,2018/9/15 19:53,112858qr15370124242293,1,0.02,2.0,微信,出货成功,平台,0.0,os-xL0g2m4CWoXYPz5LI4DgYCUXg,商品0046,农夫山泉550X1,广东省中山市,V3.0.33;rk3288;(900x1440)
112834,2018/9/15 18:53,112834qr15370088523844,1,0.02,2.0,微信,出货成功,平台,0.0,os-xL0qdLuOHOVE9arx0QnIin6pw,商品0046,农夫山泉550X1,广东省中山市,V3.0.33;rk3288;(900x1440)
112834,2018/9/15 18:33,112834qr15370076154757,1,0.02,2.0,支付宝,出货成功,平台,0.0,os-xL0sAmXU_7KR-ejtfOwRCrvxg,商品0046,农夫山泉550X1,广东省中山市,V3.0.33;rk3288;(900x1440)
112848,2018/9/15 18:20,112848qr15370068542039,1,0.02,2.0,微信,出货成功,平台,0.0,os-xL0iT6z9Gryyh0YP9CpQDzdPw,商品0046,农夫山泉550X1,广东省中山市,V3.0.33;rk3288;(900x1440)
112848,2018/9/15 18:20,112848qr15370068159187,1,0.02,2.0,微信,出货成功,平台,0.0,os-xL0uZ3C6vKGzT8QHjNytJdrSE,商品0046,农夫山泉550X1,广东省中山市,V3.0.33;rk3288;(900x1440)
112848,2018/9/15 18:19,112848qr15370067521848,1,0.02,2.0,微信,出货成功,平台,0.0,os-xL0srhI0cxDtX-ziairOOVGG0,商品0046,农夫山泉550X1,广东省中山市,V3.0.33;rk3288;(900x1440)
112848,2018/9/15 17:45,112848qr15370047473278,1,0.02,2.0,支付宝,出货成功,平台,0.0,os-xL0lI9hHE_w9DGSal3K-K0H-Q,商品0046,农夫山泉550X1,广东省中山市,V3.0.33;rk3288;(900x1440)
112858,2018/9/15 16:12,112858qr15369991869304,1,0.02,2.0,支付宝,出货成功,平台,0.0,os-xL0iPRCUgxB__tIAt0wcilhJI,商品0046,农夫山泉550X1,广东省中山市,V3.0.33;rk3288;(900x1440)
112858,2018/9/15 16:11,112858qr15369990727184,1,0.02,2.0,微信,出货成功,平台,0.0,os-xL0hppKpKv60uVotk305hcy-E,商品0046,农夫山泉550X1,广东省中山市,V3.0.33;rk3288;(900x1440)
112834,2018/9/15 13:40,112834qr15369899944296,1,0.02,2.0,微信,出货成功,平台,0.0,os-xL0jYu7BTBSmfrd2JoGf_2x2s,商品0046,农夫山泉550X1,广东省中山市,V3.0.33;rk3288;(900x1440)
112834,2018/9/15 12:01,112834qr15369840835479,1,0.02,2.0,微信,出货成功,平台,0.0,os-xL0vAZZkfqfYNfI-SUcePo5IQ,商品0046,农夫山泉550X1,广东省中山市,V3.0.33;rk3288;(900x1440)
113117,2018/9/15 11:56,113117qr15369837794977,1,0.02,2.0,微信,出货成功,平台,0.0,os-xL0rIcjUIiHtDjHYraI7BQW1U,商品0046,农夫山泉550X1,广东省广州市白云区,V3.0.33;rk3288;(900x1440)
113117,2018/9/15 10:36,113117qr15369789844533,1,0.02,2.0,微信,出货成功,平台,0.0,os-xL0vePzaLpPEhDKvoeHAVsw_w,商品0046,农夫山泉550X1,广东省广州市白云区,V3.0.33;rk3288;(900x1440)
113117,2018/9/15 10:35,113117qr15369789546340,1,0.02,2.0,微信,出货成功,平台,0.0,os-xL0prNWvsa2hq3At_c8q3w1WU,商品0046,农夫山泉550X1,广东省广州市白云区,V3.0.33;rk3288;(900x1440)
113117,2018/9/15 10:35,113117qr15369788965424,1,0.02,2.0,微信,出货成功,平台,0.0,os-xL0vacsiwv_E3OUwEkKLpNbZw,商品0046,农夫山泉550X1,广东省广州市白云区,V3.0.33;rk3288;(900x1440)
112834,2018/9/15 7:52,112834qr15369691509331,1,0.02,2.0,微信,出货成功,平台,0.0,os-xL0p6EBDt2Xomel5IWj21v4Gc,商品0046,农夫山泉550X1,广东省中山市,V3.0.33;rk3288;(900x1440)
113117,2018/9/15 7:34,113117qr15369680758608,1,0.02,2.0,支付宝,出货成功,平台,0.0,os-xL0qvD2JqcxoYZ2GtezR-kr4A,商品0046,农夫山泉550X1,广东省广州市白云区,V3.0.33;rk3288;(900x1440)
113117,2018/9/15 7:31,113117qr15369678787774,1,0.02,2.0,微信,出货成功,平台,0.0,os-xL0sehHJDaxNKE__uDO_5ZtF4,商品0046,农夫山泉550X1,广东省广州市白云区,V3.0.33;rk3288;(900x1440)
113117,2018/9/14 22:59,113117qr15369371872269,1,0.02,2.0,支付宝,出货成功,平台,0.0,os-xL0twz3vfkdxHb9Tosma5PJKk,商品0046,农夫山泉550X1,广东省广州市白云区,V3.0.33;rk3288;(900x1440)
112892,2018/9/14 22:32,112892qr15369355362074,1,0.02,2.0,微信,出货成功,平台,0.0,os-xL0mp2Dn9iMHJpZNMdimSJCws,商品0046,农夫山泉550X1,广东省中山市,V3.0.33;rk3288;(900x1440)
112858,2018/9/14 22:03,112858qr15369337768926,1,0.02,2.0,支付宝,出货成功,平台,0.0,os-xL0ivvEsnOaz3DDXdv2qx2Yew,商品0046,农夫山泉550X1,广东省中山市,V3.0.33;rk3288;(900x1440)
112858,2018/9/14 21:50,112858qr15369330503255,1,0.02,2.0,支付宝,出货成功,平台,0.0,os-xL0vU_rcjNlip4Xv94tr9xFHM,商品0046,农夫山泉550X1,广东省中山市,V3.0.33;rk3288;(900x1440)
112834,2018/9/14 21:25,112834qr15369315405499,1,0.02,2.0,微信,出货成功,平台,0.0,os-xL0pAouIxTu5jQDg4QPfdeiFc,商品0046,农夫山泉550X1,广东省中山市,V3.0.33;rk3288;(900x1440)
112858,2018/9/14 20:58,112858qr15369299426015,1,0.02,2.0,微信,出货成功,平台,0.0,os-xL0tDzf5XL9KvI_odq-T7fGaQ,商品0046,农夫山泉550X1,广东省中山市,V3.0.33;rk3288;(900x1440)
112892,2018/9/14 20:41,112892qr15369289044856,1,0.02,2.0,微信,出货成功,平台,0.0,os-xL0pQD400DsOX_7_1Wi5M_cGg,商品0046,农夫山泉550X1,广东省中山市,V3.0.33;rk3288;(900x1440)
112858,2018/9/14 19:50,112858qr15369258198552,1,0.02,2.0,微信,出货成功,平台,0.0,os-xL0njetHFwhYx7UIafQ9boMtg,商品0046,农夫山泉550X1,广东省中山市,V3.0.33;rk3288;(900x1440)
113117,2018/9/14 17:40,113117qr15369180268003,1,0.02,2.0,微信,出货成功,平台,0.0,os-xL0lK2qEv1MFc17GkPxuSy0ww,商品0046,农夫山泉550X1,广东省广州市白云区,V3.0.33;rk3288;(900x1440)
112892,2018/9/14 17:37,112892qr15369178342008,1,0.02,2.0,微信,出货成功,平台,0.0,os-xL0hzS4IrInasEMDqRKCbYAJo,商品0046,农夫山泉550X1,广东省中山市,V3.0.33;rk3288;(900x1440)
113117,2018/9/14 15:46,113117qr15369112178026,1,0.02,2.0,微信,出货成功,平台,0.0,os-xL0iOdoWb5KGGjfTSk9zYNJ9I,商品0046,农夫山泉550X1,广东省广州市白云区,V3.0.33;rk3288;(900x1440)
113117,2018/9/14 15:46,113117qr15369111948551,1,0.02,2.0,微信,出货成功,平台,0.0,os-xL0lbThWqAMzl6W7OdVE_qGEY,商品0046,农夫山泉550X1,广东省广州市白云区,V3.0.33;rk3288;(900x1440)
113117,2018/9/14 15:46,113117qr15369111745881,1,0.02,2.0,微信,出货成功,平台,0.0,os-xL0vZR50zo54Ra4vflWZnakNE,商品0046,农夫山泉550X1,广东省广州市白云区,V3.0.33;rk3288;(900x1440)
113117,2018/9/14 15:45,113117qr15369111363608,1,0.02,2.0,微信,出货成功,平台,0.0,os-xL0tnJsKdPfqKe90mLmUn5rGY,商品0046,农夫山泉550X1,广东省广州市白云区,V3.0.33;rk3288;(900x1440)
